image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
Downdog\00000000.jpg,Downdog,0.4978705,0.7717477,0.4779676,0.76092017,0.49906036,0.7783606,0.45033666,0.70502454,0.49958277,0.7394037,0.4660411,0.6106385,0.5274061,0.59689534,0.37611735,0.6946072,0.55738187,0.6641728,0.27326643,0.89874065,0.46858653,0.8185435,0.6184274,0.31250468,0.6449663,0.326286,0.76761484,0.51319194,0.7400653,0.49444196,0.8773994,0.736673,0.8253894,0.714158
Downdog\00000001.jpg,Downdog,0.5917353,0.7978831,0.5902721,0.79145193,0.59925574,0.7906341,0.5934349,0.745586,0.6112646,0.7495246,0.59988916,0.63705903,0.61585253,0.663428,0.64983404,0.6734017,0.703828,0.75980693,0.6577134,0.7003703,0.77859634,0.86263275,0.42345992,0.41909915,0.43029672,0.39848325,0.28233832,0.54720485,0.30992034,0.57353145,0.19589102,0.66931385,0.17706804,0.71555406
Downdog\00000002.jpg,Downdog,0.64578056,0.7572963,0.64348614,0.75236255,0.6566353,0.75513977,0.63466275,0.7042859,0.6637096,0.71934605,0.6211653,0.5848123,0.65854734,0.64711094,0.7218957,0.6864268,0.7492927,0.79660124,0.83413106,0.8281557,0.84157705,0.9077811,0.37389418,0.36211562,0.40752092,0.3704874,0.2159286,0.32034138,0.2961612,0.37763986,0.18942861,0.55341136,0.2070833,0.6371662
Downdog\00000003.jpg,Downdog,0.5750452,0.7797015,0.57497877,0.78416973,0.58910173,0.7764394,0.5928301,0.7584014,0.6162676,0.74073374,0.6064572,0.63791984,0.63030607,0.64599985,0.7022884,0.6887783,0.7417317,0.75796944,0.81608194,0.8358484,0.8008259,0.8602657,0.43018004,0.39673463,0.4341773,0.3912396,0.3732067,0.4318225,0.324942,0.48259583,0.300619,0.6128303,0.20379189,0.7304116
Downdog\00000004.jpg,Downdog,0.333082,0.71849537,0.31684455,0.71580446,0.33828807,0.7211848,0.29858574,0.6690447,0.3401514,0.6720312,0.3176354,0.57264817,0.34462538,0.49521828,0.24821122,0.69563705,0.3622527,0.5356626,0.15695968,0.85303795,0.36455724,0.6451954,0.46574822,0.2195538,0.47370407,0.21532267,0.6909765,0.4076558,0.660047,0.35938188,0.8034629,0.6419469,0.73926145,0.55069876
Downdog\00000007.jpg,Downdog,0.37141278,0.6576551,0.36546853,0.6361283,0.37627804,0.64178073,0.37048998,0.63102823,0.39840192,0.62351704,0.36733794,0.54775655,0.48399925,0.48123872,0.31702727,0.540236,0.473881,0.47672787,0.22059055,0.73556167,0.41764212,0.5550757,0.57156426,0.36390275,0.6206996,0.3218609,0.66699207,0.46788993,0.5299491,0.29840672,0.7789937,0.66225266,0.45319754,0.5121818
Downdog\00000008.jpg,Downdog,0.57479185,0.78531575,0.5709583,0.7884543,0.593164,0.7858117,0.57687706,0.76693326,0.61544275,0.75963026,0.5825641,0.630574,0.6360931,0.6628196,0.6588348,0.6836323,0.7328405,0.80579275,0.7842693,0.86506224,0.81723326,0.91277635,0.4044592,0.4549314,0.4424053,0.4529124,0.32875726,0.22769119,0.35231194,0.23446198,0.25221014,0.5365164,0.23822847,0.6328872
Downdog\00000009.jpg,Downdog,0.4430151,0.74903286,0.43383074,0.74612004,0.4477819,0.7468253,0.41998586,0.7080783,0.44947344,0.7110005,0.43498096,0.6316582,0.43336296,0.60835797,0.3752297,0.7359199,0.34655285,0.69538814,0.27224725,0.86803365,0.24410696,0.83064705,0.562918,0.35828537,0.5714506,0.3714103,0.7109638,0.31323934,0.7254366,0.29072958,0.8934332,0.6671958,0.8986179,0.65360975
Downdog\00000010.jpg,Downdog,0.29638562,0.52639914,0.29176673,0.51370996,0.29697886,0.5258577,0.31437358,0.4986232,0.31329864,0.52407044,0.35756236,0.4362508,0.3739988,0.49211267,0.34751678,0.4347236,0.29092413,0.5675171,0.27249894,0.56054527,0.19678438,0.6930359,0.553089,0.43314332,0.54535574,0.46468613,0.63324493,0.46882984,0.4992572,0.4931742,0.85050434,0.6097167,0.5454534,0.621903
Downdog\00000011.jpg,Downdog,0.6541528,0.6983112,0.6587374,0.6946446,0.6607446,0.6793007,0.6453993,0.6359287,0.6492371,0.6061609,0.60863835,0.5244566,0.5996566,0.52354515,0.66459864,0.7123097,0.6667535,0.7530017,0.7798136,0.8748795,0.78186524,0.86793834,0.36495948,0.28824052,0.35566708,0.27571398,0.31084827,0.4940097,0.33023456,0.51303357,0.18608908,0.7625427,0.16911255,0.8080697
